,C8p_QI15,C8p_QI151,C8p_QI153,C8p_QI155,C8p_QI157,C8p_QI159,C8p_QI16,C8p_QI161,C8p_QI163,C8p_QI165,C8p_QI167,C8p_QI17,C8p_QI170,C8p_QI172,C8p_QI174,C8p_QI176,C8p_QI178,C8p_QI18,C8p_QI180,C8p_QI182,C8p_QI184,C8p_QI187,C8p_QI189,C8p_QI19,C8p_QI191,C8p_QI193,C8p_QI195,C8p_QI197,C8p_QI198,C8p_QI199,C8p_QI20,C8p_QI200,C8p_QI201,C8p_QI203,C8p_QI205,C8p_QI207,C8p_QI209,C8p_QI21,C8p_QI212,C8p_QI214,C8p_QI22,C8p_QI23,C8p_QI24,C8p_QI25,C8p_QI26,C8p_QI27,C8p_QI28,C8p_QI29,C8p_QI30,C8p_QI31,C8p_QI33,C8p_QI35,C8p_QI36,C8p_QI37,C8p_QI38,C8p_QI39,C8p_QI40,C8p_QI41,C8p_QI42,C8p_QI43,C8p_QI63,C8p_QI64,C8p_QI66,C8p_QI68,C8p_QI70,C8p_QI72,C8p_QI74,C8p_QI76,C8p_QI78,C8p_QI80,C8p_QI82,C8p_QI84,C8p_QI86
C8p_QI167,0.3939393939393939,0.8596491228070176,0.9074074074074074,0.9074074074074074,0.9074074074074074,1.0,0.41569767441860467,0.8521739130434782,0.8596491228070176,0.9074074074074074,1.0,0.3359375,0.8200836820083682,0.8200836820083682,0.8270042194092827,0.8596491228070176,0.8596491228070176,0.41569767441860467,0.9074074074074074,1.0,0.8200836820083682,0.8200836820083682,0.8200836820083682,0.41569767441860467,0.8270042194092827,0.8596491228070176,0.9074074074074074,0.9074074074074074,0.8596491228070176,0.8596491228070176,0.4692874692874693,0.8200836820083682,0.8200836820083682,0.8270042194092827,0.8596491228070176,0.9074074074074074,0.9074074074074074,0.44835680751173707,0.14988814317673377,0.0,0.4692874692874693,0.4360730593607306,0.4360730593607306,0.44835680751173707,0.4692874692874693,0.4340909090909091,0.4360730593607306,0.4360730593607306,0.4360730593607306,0.44835680751173707,0.4272930648769575,0.4360730593607306,0.3409090909090909,0.3611111111111111,0.36899563318777295,0.3231083844580777,0.35208333333333336,0.3611111111111111,0.36899563318777295,0.3506224066390041,0.26104417670682734,0.26104417670682734,0.26104417670682734,0.2554027504911591,0.2564102564102564,0.26104417670682734,0.26104417670682734,0.24951267056530213,0.24951267056530213,0.2554027504911591,0.23518164435946462,0.2554027504911591,0.2554027504911591
C8p_QI17,0.8772455089820359,0.4119170984455959,0.38082901554404147,0.38082901554404147,0.38082901554404147,0.3359375,0.8313253012048193,0.4170984455958549,0.4119170984455959,0.38082901554404147,0.3359375,1.0,0.44041450777202074,0.44041450777202074,0.4427083333333333,0.4119170984455959,0.4119170984455959,0.8313253012048193,0.38082901554404147,0.3359375,0.44041450777202074,0.44041450777202074,0.44041450777202074,0.8313253012048193,0.4427083333333333,0.4119170984455959,0.38082901554404147,0.38082901554404147,0.4119170984455959,0.4119170984455959,0.6266968325791855,0.44041450777202074,0.44041450777202074,0.4427083333333333,0.4119170984455959,0.38082901554404147,0.38082901554404147,0.6621621621621622,0.17592592592592593,0.0,0.6266968325791855,0.6891891891891891,0.6891891891891891,0.6621621621621622,0.6266968325791855,0.6936936936936937,0.6891891891891891,0.6891891891891891,0.6891891891891891,0.6621621621621622,0.7171945701357466,0.6891891891891891,0.6142557651991615,0.5824634655532359,0.5615866388308977,0.6410256410256411,0.6075156576200418,0.5824634655532359,0.5615866388308977,0.6116910229645094,0.24212271973466004,0.24212271973466004,0.24212271973466004,0.2603648424543947,0.2570480928689884,0.24212271973466004,0.24212271973466004,0.27,0.27,0.2603648424543947,0.2553191489361702,0.2603648424543947,0.2603648424543947
C8p_QI170,0.422279792746114,0.9539748953974896,0.9037656903765691,0.9037656903765691,0.9037656903765691,0.8200836820083682,0.37305699481865284,0.9623430962343096,0.9539748953974896,0.9037656903765691,0.8200836820083682,0.44041450777202074,1.0,1.0,0.9916317991631799,0.9539748953974896,0.9539748953974896,0.37305699481865284,0.9037656903765691,0.8200836820083682,1.0,1.0,1.0,0.37305699481865284,0.9916317991631799,0.9539748953974896,0.9037656903765691,0.9037656903765691,0.9539748953974896,0.9539748953974896,0.42761692650334077,1.0,1.0,0.9916317991631799,0.9539748953974896,0.9037656903765691,0.9037656903765691,0.46993318485523383,0.20043103448275862,0.0,0.42761692650334077,0.49665924276169265,0.49665924276169265,0.46993318485523383,0.42761692650334077,0.5011135857461024,0.49665924276169265,0.49665924276169265,0.49665924276169265,0.46993318485523383,0.5167037861915368,0.49665924276169265,0.4093686354378819,0.39059304703476483,0.37014314928425357,0.4110429447852761,0.41513292433537835,0.39059304703476483,0.37014314928425357,0.41922290388548056,0.3079922027290448,0.3079922027290448,0.3079922027290448,0.32943469785575047,0.3255360623781676,0.3079922027290448,0.3079922027290448,0.3333333333333333,0.3333333333333333,0.32943469785575047,0.31238095238095237,0.32943469785575047,0.32943469785575047
C8p_QI172,0.422279792746114,0.9539748953974896,0.9037656903765691,0.9037656903765691,0.9037656903765691,0.8200836820083682,0.37305699481865284,0.9623430962343096,0.9539748953974896,0.9037656903765691,0.8200836820083682,0.44041450777202074,1.0,1.0,0.9916317991631799,0.9539748953974896,0.9539748953974896,0.37305699481865284,0.9037656903765691,0.8200836820083682,1.0,1.0,1.0,0.37305699481865284,0.9916317991631799,0.9539748953974896,0.9037656903765691,0.9037656903765691,0.9539748953974896,0.9539748953974896,0.42761692650334077,1.0,1.0,0.9916317991631799,0.9539748953974896,0.9037656903765691,0.9037656903765691,0.46993318485523383,0.20043103448275862,0.0,0.42761692650334077,0.49665924276169265,0.49665924276169265,0.46993318485523383,0.42761692650334077,0.5011135857461024,0.49665924276169265,0.49665924276169265,0.49665924276169265,0.46993318485523383,0.5167037861915368,0.49665924276169265,0.4093686354378819,0.39059304703476483,0.37014314928425357,0.4110429447852761,0.41513292433537835,0.39059304703476483,0.37014314928425357,0.41922290388548056,0.3079922027290448,0.3079922027290448,0.3079922027290448,0.32943469785575047,0.3255360623781676,0.3079922027290448,0.3079922027290448,0.3333333333333333,0.3333333333333333,0.32943469785575047,0.31238095238095237,0.32943469785575047,0.32943469785575047
C8p_QI174,0.4170984455958549,0.9456066945606695,0.895397489539749,0.895397489539749,0.895397489539749,0.8270042194092827,0.375,0.9539748953974896,0.9456066945606695,0.895397489539749,0.8270042194092827,0.4427083333333333,0.9916317991631799,0.9916317991631799,1.0,0.9456066945606695,0.9456066945606695,0.375,0.895397489539749,0.8270042194092827,0.9916317991631799,0.9916317991631799,0.9916317991631799,0.375,1.0,0.9456066945606695,0.895397489539749,0.895397489539749,0.9456066945606695,0.9456066945606695,0.42953020134228187,0.9916317991631799,0.9916317991631799,1.0,0.9456066945606695,0.895397489539749,0.895397489539749,0.46547884187082406,0.1961206896551724,0.0,0.42953020134228187,0.4922048997772829,0.4922048997772829,0.46547884187082406,0.42953020134228187,0.49665924276169265,0.4922048997772829,0.4922048997772829,0.4922048997772829,0.46547884187082406,0.5190156599552572,0.4922048997772829,0.40529531568228105,0.38650306748466257,0.3660531697341513,0.4069529652351738,0.4110429447852761,0.38650306748466257,0.3660531697341513,0.41513292433537835,0.30409356725146197,0.30409356725146197,0.30409356725146197,0.3255360623781676,0.3216374269005848,0.30409356725146197,0.30409356725146197,0.32943469785575047,0.32943469785575047,0.3255360623781676,0.30857142857142855,0.3255360623781676,0.3255360623781676
C8p_QI176,0.43466666666666665,1.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.8596491228070176,0.384,0.991304347826087,1.0,0.9473684210526315,0.8596491228070176,0.4119170984455959,0.9539748953974896,0.9539748953974896,0.9456066945606695,1.0,1.0,0.384,0.9473684210526315,0.8596491228070176,0.9539748953974896,0.9539748953974896,0.9539748953974896,0.384,0.9456066945606695,1.0,0.9473684210526315,0.9473684210526315,1.0,1.0,0.4383561643835616,0.9539748953974896,0.9539748953974896,0.9456066945606695,1.0,0.9473684210526315,0.9473684210526315,0.4817351598173516,0.19474835886214442,0.0,0.4383561643835616,0.5091324200913242,0.5091324200913242,0.4817351598173516,0.4383561643835616,0.5068181818181818,0.5091324200913242,0.5091324200913242,0.5091324200913242,0.4817351598173516,0.4922048997772829,0.5091324200913242,0.40702479338842973,0.39375,0.3729166666666667,0.3885480572597137,0.41875,0.39375,0.3729166666666667,0.4170124481327801,0.30177514792899407,0.30177514792899407,0.30177514792899407,0.3182711198428291,0.31952662721893493,0.30177514792899407,0.30177514792899407,0.31189083820662766,0.31189083820662766,0.3182711198428291,0.29636711281070743,0.3182711198428291,0.3182711198428291
C8p_QI178,0.43466666666666665,1.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.8596491228070176,0.384,0.991304347826087,1.0,0.9473684210526315,0.8596491228070176,0.4119170984455959,0.9539748953974896,0.9539748953974896,0.9456066945606695,1.0,1.0,0.384,0.9473684210526315,0.8596491228070176,0.9539748953974896,0.9539748953974896,0.9539748953974896,0.384,0.9456066945606695,1.0,0.9473684210526315,0.9473684210526315,1.0,1.0,0.4383561643835616,0.9539748953974896,0.9539748953974896,0.9456066945606695,1.0,0.9473684210526315,0.9473684210526315,0.4817351598173516,0.19474835886214442,0.0,0.4383561643835616,0.5091324200913242,0.5091324200913242,0.4817351598173516,0.4383561643835616,0.5068181818181818,0.5091324200913242,0.5091324200913242,0.5091324200913242,0.4817351598173516,0.4922048997772829,0.5091324200913242,0.40702479338842973,0.39375,0.3729166666666667,0.3885480572597137,0.41875,0.39375,0.3729166666666667,0.4170124481327801,0.30177514792899407,0.30177514792899407,0.30177514792899407,0.3182711198428291,0.31952662721893493,0.30177514792899407,0.30177514792899407,0.31189083820662766,0.31189083820662766,0.3182711198428291,0.29636711281070743,0.3182711198428291,0.3182711198428291
C8p_QI18,0.9387096774193548,0.384,0.39669421487603307,0.39669421487603307,0.39669421487603307,0.41569767441860467,1.0,0.3819628647214854,0.384,0.39669421487603307,0.41569767441860467,0.8313253012048193,0.37305699481865284,0.37305699481865284,0.375,0.384,0.384,1.0,0.39669421487603307,0.41569767441860467,0.37305699481865284,0.37305699481865284,0.37305699481865284,1.0,0.375,0.384,0.39669421487603307,0.39669421487603307,0.384,0.384,0.7238805970149254,0.37305699481865284,0.37305699481865284,0.375,0.384,0.39669421487603307,0.39669421487603307,0.6912114014251781,0.15122873345935728,0.0,0.7238805970149254,0.6720554272517321,0.6720554272517321,0.6912114014251781,0.7238805970149254,0.6689655172413793,0.6720554272517321,0.6720554272517321,0.6720554272517321,0.6912114014251781,0.6583710407239819,0.6720554272517321,0.569620253164557,0.5982532751091703,0.6116071428571429,0.5490605427974948,0.5829787234042553,0.5982532751091703,0.6116071428571429,0.5805084745762712,0.22959183673469388,0.22959183673469388,0.22959183673469388,0.22537562604340566,0.22613065326633167,0.22959183673469388,0.22959183673469388,0.22056384742951907,0.22056384742951907,0.22537562604340566,0.2107843137254902,0.22537562604340566,0.22537562604340566
C8p_QI180,0.4490358126721763,0.9473684210526315,1.0,1.0,1.0,0.9074074074074074,0.39669421487603307,0.9391304347826087,0.9473684210526315,1.0,0.9074074074074074,0.38082901554404147,0.9037656903765691,0.9037656903765691,0.895397489539749,0.9473684210526315,0.9473684210526315,0.39669421487603307,1.0,0.9074074074074074,0.9037656903765691,0.9037656903765691,0.9037656903765691,0.39669421487603307,0.895397489539749,0.9473684210526315,1.0,1.0,0.9473684210526315,0.9473684210526315,0.4507042253521127,0.9037656903765691,0.9037656903765691,0.895397489539749,0.9473684210526315,1.0,1.0,0.4953051643192488,0.19463087248322147,0.0,0.4507042253521127,0.4817351598173516,0.4817351598173516,0.4953051643192488,0.4507042253521127,0.47954545454545455,0.4817351598173516,0.4817351598173516,0.4817351598173516,0.4953051643192488,0.46547884187082406,0.4817351598173516,0.3822314049586777,0.40384615384615385,0.38247863247863245,0.36400817995910023,0.39375,0.40384615384615385,0.38247863247863245,0.3921161825726141,0.30120481927710846,0.30120481927710846,0.30120481927710846,0.29469548133595286,0.2958579881656805,0.30120481927710846,0.30120481927710846,0.2884990253411306,0.2884990253411306,0.29469548133595286,0.2734225621414914,0.29469548133595286,0.29469548133595286
C8p_QI182,0.3939393939393939,0.8596491228070176,0.9074074074074074,0.9074074074074074,0.9074074074074074,1.0,0.41569767441860467,0.8521739130434782,0.8596491228070176,0.9074074074074074,1.0,0.3359375,0.8200836820083682,0.8200836820083682,0.8270042194092827,0.8596491228070176,0.8596491228070176,0.41569767441860467,0.9074074074074074,1.0,0.8200836820083682,0.8200836820083682,0.8200836820083682,0.41569767441860467,0.8270042194092827,0.8596491228070176,0.9074074074074074,0.9074074074074074,0.8596491228070176,0.8596491228070176,0.4692874692874693,0.8200836820083682,0.8200836820083682,0.8270042194092827,0.8596491228070176,0.9074074074074074,0.9074074074074074,0.44835680751173707,0.14988814317673377,0.0,0.4692874692874693,0.4360730593607306,0.4360730593607306,0.44835680751173707,0.4692874692874693,0.4340909090909091,0.4360730593607306,0.4360730593607306,0.4360730593607306,0.44835680751173707,0.4272930648769575,0.4360730593607306,0.3409090909090909,0.3611111111111111,0.36899563318777295,0.3231083844580777,0.35208333333333336,0.3611111111111111,0.36899563318777295,0.3506224066390041,0.26104417670682734,0.26104417670682734,0.26104417670682734,0.2554027504911591,0.2564102564102564,0.26104417670682734,0.26104417670682734,0.24951267056530213,0.24951267056530213,0.2554027504911591,0.23518164435946462,0.2554027504911591,0.2554027504911591
