,HSM5FZBJ,CSM5FZ3N,ESM5MEDZ,MSM5LLIC,CSM5FZ3T,MSM5LLFG,ESM5MEEG,MSM5LLIS,CSM5FZ48,CSM5FZ4A,HSM5MD4S,CSM5FZ4O,CSM5MCTZ,HSM5MD86,HSM5MD7Z,HSM5MD8A,MSM5LLEH,HSM5MD82,CSM5MCU4,HSM5MD87,CSM5MCVH,MSM6J2H9,HSM5MD3L,CSM5MCWK,HSM5MD8H,MSM6J2JF,CSM5MCXF,MSM6J2JH,CSM5MCXB,HSM5MD5Z,CSM5MCYU,ESM5MEB9,HSM6XRQC,HSM6XRQB,HSM6XRQE,CSM67U9T,CSM67U9V,CSM67U9X,PSM6XBQM,HSM67VDX,MSM6J2Q1,PSM6XBRK,HSM67VDR,CSM67UH7,CSM79HG4,PSM6XBSE,MSM6J2PO,CSM79HJE,MSM6J2NA,CSM79HJI,CSM79HJG,CSM79HQL,MSM79HD6,CSM79HQR,HSM7J4LP,PSM7J188,MSM9VZFJ,HSM7J4JT,MSM79H8D,CSM79HQN,MSM79H94,MSM9VZMM,CSM7KOQ7,HSM7J4JV,MSM9VZM4,HSM7J4JW,HSMA33NW,HSMA33NY,PSMA265X,MSM5LLDI
HILn_QI85,53337.0,8344.0,478945.0,5488.0,227518.0,14313.0,364439.0,29904.0,21625.0,8635.0,19239.0,22870.0,28313.0,138792.0,95715.0,10285.0,39344.0,8788.0,17533.0,6638.0,298368.0,320476.0,1997.0,35305.0,15587.0,4755.0,36025.0,34091.0,76074.0,80152.0,2566.0,84543.0,55109.0,46813.0,9453.0,38816.0,18897.0,102610.0,413606.0,26510.0,50124.0,11347.0,52812.0,45638.0,36586.0,520660.0,12422.0,23155.0,9327.0,368233.0,80132.0,44779.0,397703.0,367228.0,136435.0,26829.0,12440.0,2324.0,14879.0,39442.0,41546.0,43861.0,23618.0,24191.0,404917.0,38962.0,23215.0,16971.0,48333.0,145456.0
HILn_TF12,18083535.0,8668027.0,4047239.0,22944969.0,9409821.0,11538793.0,8175270.0,4005779.0,16319576.0,12450410.0,23489178.0,13847802.0,20464177.0,27249428.0,11177712.0,7654136.0,10214416.0,13491110.0,14029555.0,20200062.0,5727663.0,3046632.0,20098416.0,12035005.0,6918270.0,14120415.0,14273321.0,13200502.0,25498885.0,7235397.0,6443038.0,13619897.0,4587048.0,62637296.0,12136469.0,4600090.0,8229355.0,6225253.0,27302381.0,6136031.0,10706086.0,12627917.0,11633790.0,14772561.0,13228452.0,7048715.0,69979818.0,16043272.0,10308954.0,7945155.0,28669448.0,5952600.0,13550005.0,5936919.0,29499814.0,0.0,8253588.0,17180618.0,6189423.0,12704296.0,15424149.0,15777006.0,14507748.0,9684982.0,9895287.0,12342491.0,6480503.0,12119570.0,13080640.0,12715318.0
HILn_QI90,525082.0,256465.0,334269.0,391826.0,354209.0,211482.0,342380.0,270693.0,802227.0,204295.0,1862957.0,549892.0,584476.0,155772.0,472522.0,364302.0,357967.0,322538.0,402822.0,354726.0,2165408.0,413120.0,402660.0,484370.0,398610.0,95721.0,261295.0,1171016.0,117882.0,526882.0,271396.0,1179383.0,830098.0,658170.0,398358.0,220767.0,432475.0,304383.0,271684.0,105262.0,601591.0,656598.0,389552.0,1202673.0,303945.0,485260.0,1930449.0,206242.0,1700394.0,1180796.0,629179.0,768945.0,311377.0,1077592.0,194476.0,55433.0,325550.0,117717.0,653376.0,146172.0,201356.0,732081.0,327298.0,350102.0,438742.0,752170.0,142837.0,926272.0,431401.0,1519881.0
HILn_QI91,116812.0,509636.0,178811.0,1061307.0,172757.0,290674.0,312038.0,351298.0,443956.0,355933.0,628336.0,187234.0,482402.0,28611.0,897156.0,374616.0,33382.0,402966.0,444097.0,170941.0,222066.0,177165.0,947306.0,1285174.0,1001835.0,104917.0,104224.0,1070970.0,255411.0,989141.0,590453.0,2472155.0,188956.0,606637.0,139687.0,139935.0,252452.0,251886.0,2826009.0,167620.0,930681.0,1108933.0,1181702.0,650570.0,335553.0,387952.0,2271003.0,1038960.0,756963.0,135703.0,1005674.0,243467.0,305012.0,132357.0,58385.0,20622.0,516330.0,218934.0,1113528.0,140831.0,532466.0,1152375.0,205922.0,687788.0,979711.0,831210.0,1039724.0,572877.0,259153.0,261832.0
HILn_QI92,848.0,177839.0,15289.0,190891.0,20137.0,25947.0,53909.0,61538.0,51076.0,115370.0,37403.0,49077.0,113710.0,414.0,14456.0,41374.0,1576.0,37378.0,67079.0,47590.0,7644.0,13085.0,74037.0,37589.0,69644.0,31272.0,48298.0,96078.0,0.0,57535.0,34660.0,44459.0,2894.0,80589.0,60157.0,75489.0,41949.0,14814.0,51654.0,59377.0,57727.0,50725.0,23820.0,44534.0,9094.0,11352.0,271093.0,122531.0,32009.0,1243.0,10139.0,31322.0,43317.0,12174.0,269.0,15325.0,102719.0,41653.0,52972.0,52251.0,8174.0,78284.0,97360.0,71273.0,31552.0,62959.0,18871.0,31926.0,43275.0,12917.0
HILn_QI93,19330.0,47201.0,68994.0,43339.0,23417.0,87399.0,352476.0,37280.0,119869.0,35475.0,302784.0,84784.0,6040.0,222093.0,106796.0,191490.0,466041.0,236168.0,35188.0,6539.0,15878.0,21728.0,175970.0,68328.0,97664.0,40070.0,24772.0,202174.0,264802.0,106843.0,35734.0,139346.0,60876.0,178248.0,58475.0,24013.0,192554.0,22705.0,95537.0,59823.0,315185.0,79558.0,65874.0,416842.0,61387.0,204868.0,329619.0,34637.0,310597.0,108100.0,104842.0,77174.0,67167.0,13100.0,982056.0,40665.0,18864.0,18495.0,182974.0,16556.0,43191.0,84056.0,109183.0,119948.0,86418.0,436399.0,63358.0,57690.0,14582.0,424794.0
HILn_TF13,71045973.0,7799192.0,83510200.0,11608662.0,14305943.0,5973961.0,418034846.0,16457537.0,7231020.0,3899945.0,1398652.0,12473567.0,121992968.0,62068571.0,7581837.0,3943188.0,20726840.0,5000290.0,15628010.0,1276848.0,186288122.0,14738802.0,5056349.0,170475054.0,2250866.0,1971584.0,29444596.0,34710162.0,8445442.0,18686915.0,4329796.0,3124141.0,3232408.0,10243539.0,2458592.0,5231800.0,3348792.0,3247680.0,15893349.0,5550795.0,16715078.0,7395052.0,16180293.0,5559326.0,7870963.0,51902826.0,24022006.0,4247881.0,2344522.0,25600700.0,8607632.0,20736973.0,10097587.0,36800357.0,72188376.0,5604512.0,14847557.0,1740172.0,4733200.0,7369674.0,10308549.0,7785519.0,24631723.0,16144478.0,5655821.0,23777087.0,36121146.0,5326078.0,5147945.0,107592128.0
HILn_TF14,0.0,0.0,0.0,53673.0,104136.0,1329236.0,737514.0,255634.0,713637.0,0.0,0.0,1188455.0,0.0,0.0,1419284.0,0.0,0.0,43240.0,138104.0,0.0,0.0,0.0,176707.0,0.0,0.0,0.0,660364.0,586711.0,0.0,464127.0,0.0,0.0,0.0,0.0,947073.0,67052.0,2432825.0,0.0,2278959.0,0.0,9924215.0,0.0,0.0,124002.0,3116646.0,0.0,0.0,0.0,440025.0,0.0,3313095.0,7728253.0,0.0,0.0,0.0,2713306.0,285222.0,0.0,1993402.0,0.0,0.0,0.0,1851795.0,162095.0,1428348.0,586170.0,437560.0,0.0,0.0,0.0
HILn_QI97,14513.0,767266.0,61926.0,539799.0,161351.0,337388.0,358799.0,128944.0,176924.0,221165.0,327874.0,890683.0,171586.0,10621.0,483888.0,415467.0,18010.0,196140.0,860372.0,166071.0,48121.0,64891.0,369036.0,495025.0,485367.0,583835.0,90496.0,344549.0,111444.0,328027.0,203731.0,145257.0,67182.0,628490.0,90394.0,277471.0,613009.0,67828.0,576833.0,858912.0,129923.0,826609.0,620543.0,298933.0,647858.0,47453.0,45532.0,301195.0,647805.0,15026.0,1354517.0,741598.0,259194.0,65298.0,43065.0,473317.0,473567.0,327961.0,227513.0,462571.0,331946.0,413473.0,288341.0,459877.0,1028309.0,780325.0,1297157.0,728873.0,405944.0,99990.0
HILn_QI98,232517.0,0.0,64017.0,29842.0,612182.0,893950.0,50337.0,317.0,3354.0,134880.0,190790.0,1214.0,38175.0,79451.0,1976.0,14807.0,185227.0,131693.0,584808.0,57496.0,883969.0,4220.0,1455213.0,48978.0,3377.0,17305.0,17533.0,1904.0,0.0,6226.0,1918.0,38873.0,104026.0,4152.0,281302.0,5873.0,409797.0,12029.0,415872.0,1153.0,0.0,1063.0,1345.0,14396.0,0.0,17005.0,18781.0,244.0,6470.0,508240.0,12403.0,383.0,25864.0,155921.0,88555.0,0.0,4714.0,6202.0,417.0,13304.0,3315.0,3590.0,1627.0,0.0,19636.0,14005.0,0.0,2375.0,0.0,13137.0
