X1,X2,X3,X4,X5,X6
0.5,0.079835391,0.950980392,0.4,0.0781893,0.95959596
0.2,0.071604938,0.97752809,0.4,0.085596708,0.962962963
0.2,0.054320988,0.970588235,0.3,0.06255144,0.962025316
0.4,0.056790123,0.945205479,0.5,0.139917695,0.971428571
0.2,0.105349794,0.984615385,0.3,0.124279835,0.980519481
0.5,0.065020576,0.94047619,0.5,0.130041152,0.969325153
0.4,0.120164609,0.973333333,0.5,0.144855967,0.972375691
0.5,0.068312757,0.943181818,0.6,0.085596708,0.945454545
0.3,0.074074074,0.967741935,0.3,0.063374486,0.9625
0.5,0.083950617,0.953271028,0.6,0.160493827,0.970149254
0.6,0.055967078,0.918918919,0.7,0.150617284,0.963157895
0.6,0.124279835,0.961783439,0.7,0.203292181,0.972440945
0.2,0.090534979,0.982142857,0.5,0.167901235,0.976076555
0.3,0.156378601,0.984455959,0.4,0.176954733,0.98173516
0.6,0.093004115,0.949579832,0.6,0.116872428,0.959459459
0.6,0.13744856,0.965317919,0.7,0.162139918,0.965686275
0.3,0.0781893,0.969387755,0.4,0.120164609,0.973333333
0.5,0.080658436,0.951456311,0.6,0.144855967,0.967032967
0.6,0.104526749,0.954887218,0.2,0.034567901,0.954545455
0.3,0.067489712,0.964705882,0.3,0.060082305,0.960526316
0.3,0.112757202,0.978571429,0.7,0.127572016,0.956790123
0.3,0.130864198,0.981481481,0.3,0.098765432,0.975609756
0.1,0.071604938,0.988636364,0.4,0.088065844,0.963963964
0.4,0.106995885,0.970149254,0.6,0.158024691,0.96969697
0.1,0.054320988,0.985074627,0.2,0.086419753,0.981308411
0.2,0.094650206,0.982905983,0.2,0.096296296,0.983193277
0.7,0.125102881,0.955974843,0.5,0.086419753,0.954545455
0.6,0.131687243,0.963855422,0.6,0.167901235,0.971428571
0.6,0.158847737,0.969849246,0.6,0.167078189,0.971291866
0.2,0.098765432,0.983606557,0.5,0.172016461,0.976635514
0.2,0.042798354,0.962962963,0.3,0.081481481,0.970588235
0.4,0.09218107,0.965517241,0.8,0.15473251,0.959183673
0.5,0.089711934,0.956140351,0.3,0.081481481,0.970588235
0.1,0.064197531,0.987341772,0,0.089711934,1
0.4,0.086419753,0.963302752,0.3,0.120164609,0.979865772
0.2,0.070781893,0.977272727,0.4,0.133333333,0.975903614
0.1,0.033744856,0.976190476,0.2,0.06090535,0.973684211
0.3,0.088888889,0.972972973,0.5,0.085596708,0.95412844
0.4,0.053497942,0.942028986,0.5,0.102057613,0.96124031
0.4,0.071604938,0.956043956,0.4,0.095473251,0.966666667
0.8,0.095473251,0.935483871,0.8,0.10781893,0.942446043
0.6,0.068312757,0.93258427,0.6,0.089711934,0.947826087
0.4,0.09218107,0.965517241,0.5,0.141563786,0.971751412
0.4,0.079835391,0.96039604,0.9,0.138271605,0.949152542
0.8,0.148148148,0.957446809,0.9,0.195061728,0.963414634
0.2,0.069958848,0.977011494,0.3,0.082304527,0.970873786
0.3,0.088065844,0.972727273,0.3,0.13909465,0.98255814
0.5,0.127572016,0.96875,0.7,0.146502058,0.962162162
0.3,0.111111111,0.97826087,0.6,0.172016461,0.972093023
0.3,0.138271605,0.98245614,0.5,0.196707819,0.979508197
0.4,0.064197531,0.951219512,0.5,0.069958848,0.944444444
0.5,0.077366255,0.949494949,0.7,0.134979424,0.959064327
0.5,0.065843621,0.941176471,0.5,0.077366255,0.949494949
0.5,0.077366255,0.949494949,0.6,0.080658436,0.942307692
0.3,0.090534979,0.973451327,0.3,0.193415638,0.987394958
0.8,0.103703704,0.940298507,0.8,0.116049383,0.946308725
0.4,0.093004115,0.965811966,0.6,0.176131687,0.972727273
0.3,0.0781893,0.969387755,0.5,0.142386831,0.971910112
0.7,0.086419753,0.9375,0.8,0.136625514,0.954022989
0.3,0.111111111,0.97826087,0.4,0.10781893,0.97037037
0.5,0.136625514,0.970760234,0.6,0.200823045,0.976
0.6,0.15473251,0.969072165,0.7,0.226337449,0.975177305
0.3,0.113580247,0.978723404,0.5,0.145679012,0.972527473
0.4,0.053497942,0.942028986,0.3,0.058436214,0.959459459
0.2,0.052674897,0.96969697,0.4,0.115226337,0.972222222
0.6,0.099588477,0.952755906,0.7,0.144032922,0.961538462
0.3,0.110288066,0.97810219,0.3,0.176131687,0.986175115
0.7,0.073251029,0.927083333,0.6,0.145679012,0.967213115
0.5,0.066666667,0.941860465,0.7,0.119341564,0.953947368
0.3,0.050205761,0.953125,0.4,0.097119342,0.967213115
0.2,0.083127572,0.980582524,0.1,0.037860082,0.978723404
0.5,0.119341564,0.966666667,0.4,0.10781893,0.97037037
0.6,0.07654321,0.939393939,0.6,0.102880658,0.954198473
0.7,0.130864198,0.957831325,0.7,0.185185185,0.969827586
0.1,0.075720165,0.989247312,0.6,0.158847737,0.969849246
0.6,0.072427984,0.936170213,0.6,0.085596708,0.945454545
0.7,0.081481481,0.933962264,0.7,0.147325103,0.962365591
0.5,0.066666667,0.941860465,0.3,0.042798354,0.945454545
0.3,0.088065844,0.972727273,0.7,0.162962963,0.965853659
0.4,0.071604938,0.956043956,0.3,0.079835391,0.97
0.2,0.083127572,0.980582524,0.3,0.047736626,0.950819672
0.4,0.083950617,0.962264151,0.3,0.068312757,0.965116279
0.3,0.109465021,0.977941176,0.6,0.174485597,0.972477064
0.2,0.149794239,0.989130435,0.3,0.236213992,0.989655172
0.2,0.049382716,0.967741935,0.2,0.074897119,0.978494624
0,0.093004115,1,0,0.017283951,1
0.7,0.113580247,0.951724138,0.8,0.224691358,0.971530249
0.4,0.110288066,0.971014493,0.5,0.117695473,0.966216216
0,0.064197531,1,0.1,0.063374486,0.987179487
0.2,0.057613169,0.972222222,0.2,0.04526749,0.964912281
0.6,0.111111111,0.957446809,0.6,0.126748971,0.9625
0.5,0.118518519,0.966442953,0.6,0.127572016,0.962732919
0.5,0.09382716,0.957983193,0.7,0.13909465,0.960227273
0.2,0.048559671,0.967213115,0.3,0.126748971,0.98089172
0.825,0.237361531,0.993048241,0.8,0.201863041,0.992081168
0.8,0.206495468,0.99225744,0.725,0.185146022,0.992174852
0.825,0.220946626,0.992535625,0.8,0.200453172,0.992025916
0.775,0.212789527,0.992717876,0.675,0.186706949,0.992771084
0.9,0.270342397,0.9933395,0.9,0.240281974,0.992512479
0.8,0.228700906,0.993003935,0.775,0.214551863,0.99277726
0.925,0.222155086,0.991683524,0.875,0.209566969,0.99166071
0.825,0.225377644,0.992681304,0.75,0.204934542,0.992682927
0.6,0.214853978,0.994406898,0.575,0.187462236,0.993860117
0.875,0.20775428,0.99158856,0.85,0.181067472,0.990633609
0.85,0.2224572,0.992362983,0.8,0.204934542,0.992198927
0.925,0.201359517,0.990832507,0.925,0.186958711,0.990133333
0.825,0.212789527,0.992251702,0.825,0.202719033,0.991869919
0.825,0.210070493,0.9921522,0.8,0.195468278,0.991824221
0.7,0.204934542,0.993167399,0.7,0.189728097,0.992623815
0.925,0.19164149,0.990372105,0.9,0.173363545,0.989652199
0.7,0.23141994,0.993944637,0.675,0.20835851,0.993517407
0.925,0.227995972,0.991894852,0.775,0.202870091,0.992364532
0.875,0.245871098,0.992883286,0.825,0.220040282,0.99250511
0.875,0.216868077,0.991939199,0.85,0.194612286,0.991279815
0.925,0.240332326,0.992307692,0.925,0.217270896,0.991498162
0.925,0.208257805,0.991133477,0.925,0.18836858,0.990206458
0.875,0.206596173,0.991541808,0.85,0.192396777,0.991180285
0.725,0.212084592,0.99316199,0.725,0.195216516,0.992575525
0.8,0.224320242,0.992868286,0.75,0.203121853,0.99261811
0.675,0.187260826,0.992792312,0.6,0.168630413,0.992884672
0.925,0.203222558,0.990915787,0.9,0.179405841,0.989997221
0.775,0.209063444,0.992589051,0.75,0.191540785,0.992175274
0.8,0.198338369,0.991941576,0.775,0.183333333,0.991557734
0.875,0.231520645,0.9924455,0.875,0.21143001,0.991733585
0.7,0.207200403,0.993241612,0.7,0.18469285,0.992424242
0.875,0.2112286,0.991725768,0.875,0.186052367,0.990616622
0.925,0.217119839,0.991492297,0.875,0.196173212,0.991096413
0.85,0.228700906,0.99256993,0.825,0.207905337,0.99207112
0.9,0.232729104,0.992271361,0.75,0.209617321,0.992845218
0.7,0.201107754,0.993038289,0.7,0.186203424,0.992485239
0.875,0.206143001,0.991523371,0.85,0.185800604,0.990870032
0.75,0.196374622,0.992366412,0.75,0.181923464,0.991765029
0.825,0.245015106,0.993263931,0.75,0.215558912,0.993041058
0.925,0.246626385,0.992502533,0.875,0.219335347,0.992029151
0.85,0.205589124,0.991741559,0.8,0.186656596,0.991441562
0.7,0.174572004,0.991988555,0.675,0.160020141,0.991575663
