TPR,FPR,FDR
0.6,0.004938272,0.5
1,0.002469136,0.230769231
0.8,0.004115226,0.384615385
1,0.001646091,0.166666667
0.8,0.002469136,0.272727273
0.8,0.001646091,0.2
0.975,0.002265861,0.535714286
1,0.001913394,0.487179487
0.975,0.002769386,0.585106383
1,0.002366566,0.540229885
1,0.001913394,0.487179487
1,0.002366566,0.540229885
1,0.001963746,0.493670886
1,0.002416918,0.545454545
1,0.002920443,0.591836735
0.975,0.002366566,0.546511628
1,0.002114804,0.512195122
0.975,0.002114804,0.518518519
0.975,0.002114804,0.518518519
0.975,0.002567976,0.566666667
1,0.002517623,0.555555556
1,0.003071501,0.603960396
1,0.002265861,0.529411765
1,0.001963746,0.493670886
1,0.002265861,0.529411765
0.975,0.002668681,0.576086957
1,0.002618328,0.565217391
1,0.002618328,0.565217391
0.95,0.002567976,0.573033708
0.975,0.002416918,0.551724138
1,0.002064451,0.50617284
1,0.002769386,0.578947368
1,0.001913394,0.487179487
0.975,0.002114804,0.518518519
0.975,0.003222558,0.621359223
1,0.002668681,0.569892473
1,0.002316213,0.534883721
0.975,0.002819738,0.589473684
1,0.002416918,0.545454545
1,0.002618328,0.565217391
1,0.002165156,0.518072289
0.975,0.002769386,0.585106383
1,0.002114804,0.512195122
1,0.002265861,0.529411765
1,0.002064451,0.50617284
1,0.002719033,0.574468085
0.975,0.002316213,0.541176471
1,0.002668681,0.569892473
1,0.002014099,0.5
0.95,0.003373615,0.638095238
0.975,0.003323263,0.628571429
0.975,0.002416918,0.551724138
0.975,0.002467271,0.556818182
1,0.002215509,0.523809524
0.975,0.002618328,0.571428571
1,0.001913394,0.487179487
1,0.002567976,0.56043956
0.975,0.002819738,0.589473684
1,0.001963746,0.493670886
1,0.002819738,0.583333333
1,0.002517623,0.555555556
0.975,0.002064451,0.5125
0.975,0.002165156,0.524390244
0.975,0.002618328,0.571428571
1,0.002517623,0.555555556
0.975,0.002114804,0.518518519
1,0.001913394,0.487179487
0.975,0.001963746,0.5
1,0.002114804,0.512195122
0.975,0.002416918,0.551724138
1,0.002265861,0.529411765
1,0.002467271,0.550561798
1,0.001863041,0.480519481
0.975,0.002014099,0.506329114
1,0.002416918,0.545454545
0.975,0.001611279,0.450704225
0.975,0.001963746,0.5
0.975,0.002668681,0.576086957
0.975,0.002064451,0.5125
1,0.002920443,0.591836735
0.975,0.002316213,0.541176471
0.975,0.002517623,0.561797753
1,0.002920443,0.591836735
1,0.001863041,0.480519481
1,0.002567976,0.56043956
0.975,0.002265861,0.535714286
1,0.002769386,0.578947368
1,0.002467271,0.550561798
0.975,0.002265861,0.535714286
0.975,0.002265861,0.535714286
0.975,0.002366566,0.546511628
1,0.002064451,0.50617284
0.975,0.002668681,0.576086957
1,0.001963746,0.493670886
1,0.002618328,0.565217391
0.975,0.003373615,0.632075472
1,0.002517623,0.555555556
0.975,0.002064451,0.5125
1,0.001661631,0.452054795
1,0.003021148,0.6
0.975,0.002215509,0.530120482
1,0.002064451,0.50617284
1,0.001863041,0.480519481
1,0.002064451,0.50617284
1,0.002467271,0.550561798
1,0.002416918,0.545454545
1,0.002316213,0.534883721
0.95,0.002014099,0.512820513
0.95,0.002165156,0.530864198
0.975,0.001711984,0.465753425
1,0.001711984,0.459459459
1,0.002416918,0.545454545
0.975,0.001913394,0.493506494
1,0.002467271,0.550561798
0.975,0.003121853,0.613861386
0.975,0.001913394,0.493506494
1,0.001812689,0.473684211
1,0.002064451,0.50617284
1,0.001812689,0.473684211
1,0.002668681,0.569892473
0.975,0.002517623,0.561797753
1,0.003021148,0.6
0.95,0.001863041,0.493333333
0.975,0.001963746,0.5
0.95,0.001913394,0.5
0.975,0.002265861,0.535714286
0.975,0.002517623,0.561797753
1,0.001762336,0.466666667
0.9,0.002114804,0.538461538
0.975,0.001963746,0.5
1,0.001661631,0.452054795
0.975,0.001963746,0.5
0.95,0.001762336,0.479452055
0.925,0.002265861,0.548780488
0.95,0.003121853,0.62
0.95,0.002114804,0.525
1,0.001812689,0.473684211
0.925,0.002215509,0.543209877
0.975,0.002517623,0.561797753
1,0.002265861,0.529411765
1,0.001913394,0.487179487
0.95,0.002064451,0.518987342
0.975,0.001762336,0.472972973
1,0.002114804,0.512195122
1,0.001711984,0.459459459
0.975,0.002014099,0.506329114
0.925,0.002014099,0.519480519
0.95,0.002416918,0.558139535
0.95,0.002165156,0.530864198
0.975,0.003222558,0.621359223
0.95,0.002618328,0.577777778
0.975,0.002567976,0.566666667
0.95,0.001762336,0.479452055
0.95,0.002165156,0.530864198
1,0.002215509,0.523809524
0.95,0.001963746,0.506493506
1,0.001913394,0.487179487
0.95,0.002265861,0.542168675
0.925,0.002316213,0.554216867
0.975,0.002165156,0.524390244
0.95,0.002366566,0.552941176
0.9,0.002014099,0.526315789
0.95,0.001611279,0.457142857
0.925,0.002064451,0.525641026
0.925,0.002014099,0.519480519
0.95,0.002316213,0.547619048
0.975,0.001812689,0.48
0.975,0.001863041,0.486842105
0.975,0.002467271,0.556818182
0.975,0.002316213,0.541176471
1,0.002215509,0.523809524
1,0.002265861,0.529411765
0.95,0.001711984,0.472222222
0.975,0.002215509,0.530120482
1,0.002014099,0.5
0.925,0.002064451,0.525641026
0.95,0.002064451,0.518987342
0.975,0.002114804,0.518518519
0.95,0.002165156,0.530864198
0.95,0.002265861,0.542168675
1,0.001661631,0.452054795
0.95,0.001863041,0.493333333
1,0.002416918,0.545454545
1,0.002165156,0.518072289
0.975,0.001812689,0.48
1,0.001661631,0.452054795
0.975,0.002467271,0.556818182
1,0.001812689,0.473684211
1,0.001913394,0.487179487
0.975,0.002165156,0.524390244
0.975,0.002265861,0.535714286
0.925,0.001812689,0.493150685
0.975,0.002265861,0.535714286
0.95,0.002064451,0.518987342
0.975,0.002366566,0.546511628
0.95,0.002265861,0.542168675
0.95,0.002215509,0.536585366
0.925,0.002114804,0.53164557
0.95,0.001913394,0.5
0.975,0.001863041,0.486842105
1,0.002165156,0.518072289
0.95,0.001812689,0.486486486
0.975,0.002366566,0.546511628
0.975,0.002114804,0.518518519
1,0.002215509,0.523809524
0.975,0.001661631,0.458333333
0.875,0.002567976,0.593023256
0.975,0.002014099,0.506329114
0.975,0.002014099,0.506329114
0.925,0.001611279,0.463768116
0.975,0.001409869,0.417910448
1,0.001460222,0.420289855
0.925,0.001913394,0.506666667
0.925,0.002165156,0.5375
0.975,0.002165156,0.524390244
0.975,0.001560926,0.442857143
0.925,0.002316213,0.554216867
0.875,0.001913394,0.520547945
0.9,0.001560926,0.462686567
0.95,0.001863041,0.493333333
0.925,0.001812689,0.493150685
0.9,0.002316213,0.56097561
0.975,0.002215509,0.530120482
0.925,0.001863041,0.5
0.925,0.001863041,0.5
0.875,0.002416918,0.578313253
0.9,0.002014099,0.526315789
0.925,0.001762336,0.486111111
0.9,0.002165156,0.544303797
0.9,0.001863041,0.506849315
0.975,0.001762336,0.472972973
0.975,0.002668681,0.576086957
0.95,0.002366566,0.552941176
0.925,0.001762336,0.486111111
0.95,0.002014099,0.512820513
0.925,0.002366566,0.55952381
0.95,0.002165156,0.530864198
0.95,0.002215509,0.536585366
0.9,0.002366566,0.56626506
0.925,0.002265861,0.548780488
0.925,0.001963746,0.513157895
0.925,0.001762336,0.486111111
0.95,0.001863041,0.493333333
0.95,0.002014099,0.512820513
0.925,0.002215509,0.543209877
0.95,0.002366566,0.552941176
0.9,0.002014099,0.526315789
0.95,0.002366566,0.552941176
0.95,0.002265861,0.542168675
0.9,0.002467271,0.576470588
0.925,0.002416918,0.564705882
0.925,0.002064451,0.525641026
